strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Naive,,AutoEncoder,0.5912857142857142,-0.3579473684210525,0.8511578947368421,Bhattacharyya,NSLKDD C
Naive,,OneClassSVM(gamma='auto'),0.6252857142857143,-0.3558947368421052,0.8626315789473683,Bhattacharyya,NSLKDD C
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.6495714285714285,-0.2519473684210526,0.789421052631579,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8778095238095239,0.0043684210526315,0.3773157894736842,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.8489523809523808,-0.0847368421052631,0.920263157894737,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.9244761904761906,-0.0327368421052631,0.6932105263157894,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.8364285714285713,-0.0769473684210526,0.9172105263157896,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.6905714285714285,0.0244736842105263,0.5686842105263159,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,AutoEncoder,0.8460952380952381,-0.1252631578947368,0.9254736842105262,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.710904761904762,-0.113578947368421,0.8303157894736841,Bhattacharyya,NSLKDD C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.7374285714285713,-0.067578947368421,0.8436315789473685,Bhattacharyya,NSLKDD C
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8995714285714286,-0.0476842105263157,0.3971578947368421,Bhattacharyya,NSLKDD R
Cumulative,,IsolationForest(random_state=0),0.8034761904761906,-0.0864736842105263,0.8098947368421052,Bhattacharyya,NSLKDD R
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.96,-0.0177894736842105,0.5734736842105264,Bhattacharyya,NSLKDD R
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7943809523809523,-0.0939473684210526,0.7533684210526315,Bhattacharyya,NSLKDD R
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.7206190476190475,-0.0153157894736842,0.6178947368421053,Bhattacharyya,NSLKDD R
Cumulative,,AutoEncoder,0.8715714285714287,-0.0355263157894736,0.7275789473684211,Bhattacharyya,NSLKDD R
Cumulative,,OneClassSVM(gamma='auto'),0.7090000000000001,-0.0543157894736842,0.6245263157894737,Bhattacharyya,NSLKDD R
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.7108571428571429,-0.0669473684210526,0.6307368421052632,Bhattacharyya,NSLKDD R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6000952380952381,-0.3925263157894736,0.6663157894736842,Bhattacharyya,NSLKDD R
Naive,,IsolationForest(random_state=0),0.6708571428571428,-0.3178421052631578,0.6857368421052631,Bhattacharyya,NSLKDD R
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.7119047619047619,-0.2821578947368421,0.6971052631578947,Bhattacharyya,NSLKDD R
Naive,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.6675238095238095,-0.3095263157894737,0.632263157894737,Bhattacharyya,NSLKDD R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.4394285714285715,-0.0430526315789473,0.317,Bhattacharyya,NSLKDD R
Naive,,AutoEncoder,0.7326666666666667,-0.2135263157894736,0.7242105263157894,Bhattacharyya,NSLKDD R
Naive,,OneClassSVM(gamma='auto'),0.7493809523809523,-0.2560526315789473,0.7391052631578948,Bhattacharyya,NSLKDD R
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.7282380952380952,-0.2202105263157895,0.6447894736842105,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8883333333333334,-0.0414736842105263,0.3797894736842105,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.8091904761904762,-0.0965263157894736,0.8071052631578947,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.9471428571428572,-0.0171578947368421,0.6178421052631579,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7762380952380952,-0.1147894736842105,0.7527894736842106,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.6378095238095238,0.0259473684210526,0.5023684210526316,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,AutoEncoder,0.8791904761904762,-0.0503157894736842,0.775421052631579,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.7556666666666667,-0.1106315789473684,0.7305789473684211,Bhattacharyya,NSLKDD R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.7624285714285715,-0.0663684210526315,0.6737894736842104,Bhattacharyya,NSLKDD R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.7258181818181816,0.2866666666666667,0.3553333333333333,Bhattacharyya,UNSW A
Cumulative,,IsolationForest(random_state=0),0.4661818181818181,0.1375555555555555,0.364,Bhattacharyya,UNSW A
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.7274545454545456,0.2644444444444445,0.314,Bhattacharyya,UNSW A
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.431090909090909,0.0715555555555555,0.3491111111111111,Bhattacharyya,UNSW A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.5027272727272727,0.0657777777777777,0.3768888888888889,Bhattacharyya,UNSW A
Cumulative,,AutoEncoder,0.5130909090909092,0.1775555555555555,0.3024444444444444,Bhattacharyya,UNSW A
Cumulative,,OneClassSVM(gamma='auto'),0.5070909090909091,0.084,0.4542222222222222,Bhattacharyya,UNSW A
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.3781818181818181,0.0502222222222222,0.3102222222222222,Bhattacharyya,UNSW A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6938181818181819,0.1491111111111111,0.3911111111111111,Bhattacharyya,UNSW A
Naive,,IsolationForest(random_state=0),0.58,0.1591111111111111,0.456,Bhattacharyya,UNSW A
